id,focus,signal,slack,drag,confidence,score,lane
l001,quota pressure,35,33,6,25,213,ship
l002,route drift,35,34,6,55,245,ship
l003,secret scope,35,35,6,85,277,ship
l004,rollout width,35,36,18,25,183,ship
l005,quota pressure,35,37,18,55,215,ship
l006,route drift,35,38,18,85,247,ship
l007,secret scope,35,39,34,25,141,watch
l008,rollout width,35,40,34,55,173,ship
l009,quota pressure,35,41,34,85,205,ship
l010,route drift,60,42,6,25,331,ship
l011,secret scope,60,43,6,55,363,ship
l012,rollout width,60,44,6,85,395,ship
l013,quota pressure,60,45,18,25,301,ship
l014,route drift,60,46,18,55,333,ship
l015,secret scope,60,47,18,85,365,ship
l016,rollout width,60,48,34,25,259,ship
l017,quota pressure,60,32,34,55,257,ship
l018,route drift,60,33,34,85,289,ship
l019,secret scope,85,34,6,25,415,ship
l020,rollout width,85,35,6,55,447,ship
l021,quota pressure,85,36,6,85,479,ship
l022,route drift,85,37,18,25,385,ship
l023,secret scope,85,38,18,55,417,ship
l024,rollout width,85,39,18,85,449,ship
l025,quota pressure,85,40,34,25,343,ship
l026,route drift,85,41,34,55,375,ship
l027,secret scope,85,42,34,85,407,ship
